Name,Attributes,n,n1,n2,δ
Wikinews edits (bg),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",4457,324,4133,14
Wikipedia talk (br),"['Communication network', 'Unipartite directed', 'Unweighted multiple edges', 'Edges are annotated with timestamps', 'Contains loops']",1181,,,8
Wikibooks edits (gl),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",3466,286,3180,14
Wiktionary edits (fo),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",2064,244,1820,13
Wikiquote edits (nn),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",4232,210,4022,14
Wikiquote edits (yi),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",5501,215,5286,14
Wikiquote edits (mk),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",6891,218,6673,13
Wiktionary edits (gu),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",4214,274,3940,15
Wikiquote edits (no),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",3369,567,2802,13
Wiktionary edits (mt),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",2853,193,2660,17
OpenFlights (Opsahl),"['Infrastructure network', 'Unipartite directed', 'Unweighted no multiple edges']",2939,,,14
Wikibooks edits (eo),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",3672,401,3271,13
Wikiquote edits (sa),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",4637,154,4483,12
Wiktionary edits (mr),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",4337,281,4056,13
Wikibooks edits (uk),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",3229,452,2777,13
Wikiquote edits (gl)*,"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",3200,357,2843,13
Gnutella (06),"['Computer network', 'Unipartite directed', 'Unweighted no multiple edges', 'Does not contain reciprocal edges']",8717,,,10
Wikipedia edits (st),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",2689,645,2044,16
Gnutella (05),"['Computer network', 'Unipartite directed', 'Unweighted no multiple edges', 'Does not contain reciprocal edges']",8846,,,9
Wikibooks edits (lt),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",3014,335,2679,14
Wikipedia edits (tn),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",3345,706,2639,14
Wiktionary edits (hsb),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",5591,230,5361,14
Wikiquote edits (th),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",6970,405,6565,12
Wikivoyage edits (uk),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",2003,354,1649,10
Wikivoyage edits (ro),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",2868,335,2533,12
Wikiquote edits (mr)*,"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",7274,687,6587,12
Wikipedia edits (lg),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",4662,683,3979,13
Wikipedia edits (ff),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",2330,618,1712,13
US airports,"['Infrastructure network', 'Unipartite directed', 'Positive weights no multiple edges']",1574,,,8
Wikibooks edits (az),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",6596,401,6195,15
Wikipedia edits (olo),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",3281,140,3141,8
Wikipedia edits (chy),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",3229,1099,2130,12
Wikinews edits (no),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",4523,430,4093,13
Wikibooks edits (is),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",3571,731,2840,13
Wiktionary edits (kl),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",2597,210,2387,14
Wiktionary edits (ur),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",8456,298,8158,17
Twitter lists,"['Online social network', 'Unipartite directed', 'Unweighted no multiple edges']",23370,,,15
CiaoDVD trust,"['Online social network', 'Unipartite directed', 'Unweighted no multiple edges', 'Is a snapshot and likely to not contain all data']",4658,,,9
Infectious,"['Human contact network', 'Unipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",410,,,9
Wikipedia edits (jam),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",2922,177,2745,9
Wikiquote edits (sv),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",4205,740,3465,11
Wikipedia edits (dz),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",2362,621,1741,13
Wikiquote edits (hr),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",3762,398,3364,13
Wikipedia edits (tyv),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",4156,377,3779,14
Wiktionary edits (wo),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",3964,193,3771,15
Wikibooks edits (da),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",4567,479,4088,13
FilmTrust ratings,"['Rating network', 'Bipartite undirected', 'Ratings no multiple edges', 'Is a snapshot and likely to not contain all data']",3579,1508,2071,7
Wikiversity edits (sv),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",3417,806,2611,15
Wikivoyage edits (el),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",2759,293,2466,12
Wikibooks edits (ro),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",4740,443,4297,13
Prosper listings,"['Interaction network', 'Bipartite undirected', 'Unweighted no multiple edges']",23965,1732,22233,14
Wikiquote edits (ko),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",4197,632,3565,12
Wikinews edits (ko),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",3508,373,3135,11
Wikinews edits (bs),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",4540,281,4259,15
Gnutella (04),"['Computer network', 'Unipartite directed', 'Unweighted no multiple edges', 'Does not contain reciprocal edges']",10876,,,10
Hypertext 2009,"['Human contact network', 'Unipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",113,,,3
Wikipedia edits (om),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",3582,630,2952,13
Haggle,"['Human contact network', 'Unipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",274,,,4
Wikiquote edits (eo),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",4262,396,3866,15
Chicago,"['Infrastructure network', 'Unipartite directed', 'Unweighted no multiple edges']",12982,,,106
LiquidFeedback (all),"['Online contact network', 'Unipartite directed', 'Dynamic', 'Edges are annotated with timestamps']",2154,,,10
Wikipedia edits (xh),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",3606,771,2835,13
Google+ (NIPS),"['Online social network', 'Unipartite directed', 'Unweighted no multiple edges']",23628,,,8
LiquidFeedback (temporal),"['Online social network', 'Unipartite directed', 'Dynamic', 'Edges are annotated with timestamps']",127833,,,10
Wikiquote edits (el),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",4390,553,3837,11
Wiktionary edits (vec),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",3366,208,3158,12
Wiktionary edits (sd),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",5237,179,5058,14
Wikiquote edits (ja),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",5011,901,4110,12
Wiktionary edits (tk),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",5810,211,5599,14
Wikiquote edits (vi),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",3929,658,3271,11
Wikibooks edits (sq),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",7177,303,6874,16
Wiktionary edits (gd),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",4377,235,4142,13
Wikipedia edits (za),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",3503,686,2817,13
Wikibooks edits (ko),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",6633,592,6041,13
Autonomous systems (DIMACS10),"['Computer network', 'Unipartite undirected', 'Unweighted no multiple edges', 'Is a snapshot and likely to not contain all data', 'Is not directed but the underlying data is']",22963,,,11
Wikipedia edits (ts),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",2915,569,2346,12
Wikipedia edits (cr),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",3322,1188,2134,15
Wikipedia edits (dty),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",5803,171,5632,8
Wikibooks edits (cs),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",4918,790,4128,11
Wikipedia edits (ha),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",4286,771,3515,13
Wikinews edits (he),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",4946,566,4380,13
Wikiquote edits (or),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",9102,327,8775,10
Wikiquote edits (ka),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",4140,375,3765,11
Wiktionary edits (pnb),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",10310,138,10172,12
Wikiversity edits (el),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",4714,632,4082,10
Wikivoyage edits (vi),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",3973,370,3603,10
Wiktionary edits (ug),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",3826,197,3629,14
CAIDA,"['Computer network', 'Unipartite undirected', 'Unweighted no multiple edges', 'Is not directed but the underlying data is']",26475,,,17
Wikiquote edits (be)*,"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",10087,247,9840,12
Wiktionary edits (an),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",6101,302,5799,14
Wikiquote edits (id)*,"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",10063,504,9559,13
Bitcoin Alpha,"['Online social network', 'Unipartite directed', 'Signed possibly weighted no multiple edges', 'Edges are annotated with timestamps']",3783,,,10
Wikibooks edits (tr),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",7395,780,6615,11
Wiktionary edits (ia),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",7645,270,7375,13
Wikinews edits (ro),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",7741,512,7229,11
Wikipedia edits (bi),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",3646,863,2783,14
Wikipedia edits (got),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",3939,719,3220,12
Wikipedia edits (ik),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",2836,590,2246,13
Wikipedia edits (zu),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",4531,939,3592,12
Wikiquote edits (eo)*,"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",7681,483,7198,10
Wikiquote edits (simple),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",6366,427,5939,12
Wikiquote edits (sl),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",5297,344,4953,11
Wikinews edits (hu),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",5541,318,5223,11
Wikiversity edits (sl),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",3447,1176,2271,12
Wikipedia edits (sm),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",3364,650,2714,14
Wikipedia edits (ltg),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",3158,493,2665,12
Gnutella (25),"['Computer network', 'Unipartite directed', 'Unweighted no multiple edges', 'Does not contain reciprocal edges']",22687,,,11
WikiLens,"['Rating network', 'Bipartite undirected', 'Ratings no multiple edges', 'Edges are annotated with timestamps']",5437,326,5111,9
Advogato,"['Online social network', 'Unipartite directed', 'Positive weights no multiple edges', 'Contains loops']",6541,,,9
Wikipedia edits (ss),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",2752,712,2040,14
Wikipedia edits (to),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",5581,640,4941,13
Wikipedia talk (nds),"['Communication network', 'Unipartite directed', 'Unweighted multiple edges', 'Edges are annotated with timestamps', 'Contains loops']",23132,,,6
Wikipedia edits (chr),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",4273,864,3409,12
Wikipedia edits (bm),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",3040,783,2257,14
Wiktionary edits (csb),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",2763,234,2529,13
Wikipedia edits (pnt),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",2478,575,1903,12
Wikibooks edits (no),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",4821,688,4133,16
Wikipedia edits (tcy),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",3884,1635,2249,8
Wikibooks edits (sv),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",7094,989,6105,12
OpenFlights (Patokallio),"['Infrastructure network', 'Unipartite directed', 'Unweighted multiple edges', 'Contains loops']",3425,,,13
Wikipedia edits (pih),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",3152,697,2455,13
Wikipedia edits (nso),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",9785,353,9432,13
Wikibooks edits (el),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",4953,1305,3648,13
Wikipedia edits (iu),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",3586,767,2819,12
arXiv cond-mat,"['Authorship network', 'Bipartite undirected', 'Unweighted no multiple edges']",38741,16726,22015,36
Wikiversity edits (fi),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",4396,1324,3072,17
Wikipedia edits (ee),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",3343,748,2595,14
Wikinews edits (uk),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",6964,680,6284,11
UC Irvine forum,"['Interaction network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",1421,899,522,8
Wikibooks edits (vi),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",9144,1325,7819,11
Wikinews edits (sv),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",9105,507,8598,12
Wikibooks edits (th),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",12734,559,12175,14
Amazon (Wang),"['Rating network', 'Bipartite undirected', 'Ratings multiple edges', 'Edges are annotated with timestamps', 'Is a snapshot and likely to not contain all data']",26911,26112,799,18
Gnutella (24),"['Computer network', 'Unipartite directed', 'Unweighted no multiple edges', 'Does not contain reciprocal edges']",26518,,,11
Wikipedia edits (srn),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",3150,534,2616,14
Wikipedia edits (kg),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",3384,654,2730,13
Wikipedia edits (kaa),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",5469,769,4700,14
Wikipedia edits (roa-rup),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",4609,831,3778,12
Wikiquote edits (hu),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",5720,882,4838,11
Wikipedia edits (sn),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",9067,743,8324,13
Wikiquote edits (da)*,"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",21230,414,20816,12
Wiktionary edits (bn),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",10258,456,9802,14
Wikipedia edits (glk),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",12825,868,11957,12
Wikipedia edits (rmy),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",3197,761,2436,12
Wikiquote edits (tr),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",12748,1049,11699,11
Wiktionary edits (ne),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",7253,274,6979,15
Wikivoyage edits (fi),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",4216,523,3693,7
Wikiquote edits (et)*,"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",20902,274,20628,13
Wikipedia edits (kbd),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",7157,566,6591,12
Wikipedia edits (ab),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",6698,1166,5532,12
Wikipedia edits (lbe),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",11212,657,10555,13
Wiktionary edits (mk),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",6388,239,6149,12
Wikipedia edits (ty),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",3404,620,2784,13
Wikipedia edits (bxr),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",8187,919,7268,12
DNC emails,"['Communication network', 'Unipartite directed', 'Unweighted multiple edges', 'Edges are annotated with timestamps', 'Contains loops', 'Is a snapshot and likely to not contain all data']",2029,,,8
Wiktionary edits (be),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",7426,301,7125,15
Wikiquote edits (az),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",5046,451,4595,11
Wikiquote edits (hr)*,"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",14701,461,14240,14
Wikiquote edits (zh),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",11164,2525,8639,14
Wikinews edits (ta),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",14005,451,13554,13
Wikiquote edits (fi),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",6780,1115,5665,12
Wikiquote edits (ar),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",23375,1507,21868,11
Wiktionary edits (ang),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",4071,305,3766,14
Filmtipset friendships,"['Online social network', 'Unipartite undirected', 'Unweighted no multiple edges']",39199,,,17
Wikipedia edits (mdf),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",5216,643,4573,11
Wikinews edits (cs),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",10943,539,10404,10
Wikipedia talk (eo),"['Communication network', 'Unipartite directed', 'Unweighted multiple edges', 'Edges are annotated with timestamps', 'Contains loops']",7586,,,8
Wikipedia edits (koi),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",7691,532,7159,13
Wikiquote edits (az)*,"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",16231,428,15803,15
Wikibooks edits (id),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",13841,1053,12788,11
Wikipedia edits (pag),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",7853,624,7229,14
Wikiquote edits (vi)*,"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",18737,615,18122,16
Wikiquote edits (sr)*,"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",17185,489,16696,11
Wikipedia edits (lo),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",8990,1075,7915,13
Wiktionary edits (nah),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",9196,226,8970,13
Gnutella (30),"['Computer network', 'Unipartite directed', 'Unweighted no multiple edges', 'Does not contain reciprocal edges']",36682,,,11
Wikiquote edits (bs)*,"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",8557,505,8052,13
Wikipedia edits (cbk-zam),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",6230,1057,5173,12
Wiktionary edits (ga),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",6005,392,5613,13
Wikiquote edits (nl),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",6411,1054,5357,11
Marvel,"['Miscellaneous network', 'Bipartite undirected', 'Unweighted no multiple edges']",25914,6486,19428,11
Bitcoin OTC,"['Online social network', 'Unipartite directed', 'Signed possibly weighted no multiple edges', 'Edges are annotated with timestamps']",5881,,,9
Wikipedia edits (pcd),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",8580,787,7793,13
Cora,"['Citation network', 'Unipartite directed', 'Unweighted no multiple edges']",23166,,,20
Wikibooks edits (ca),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",8052,1008,7044,11
Wikipedia links (gag),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges']",2929,,,9
Wikipedia links (lo),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges']",3811,,,9
Wikinews edits (fi),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",6866,537,6329,12
Wikinews edits (nl),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",8000,433,7567,12
Wikiversity edits (ar),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",18752,1091,17661,12
DBLP,"['Citation network', 'Unipartite directed', 'Unweighted no multiple edges', 'Edges are annotated with timestamps', 'Contains loops']",12590,,,10
Wikiquote edits (vec),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",12202,230,11972,9
Wikipedia edits (tet),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",4623,1215,3408,14
Wikipedia edits (bjn),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",12801,822,11979,12
Wikipedia edits (ig),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",5978,772,5206,12
Wikipedia links (am),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",20943,,,12
Wikipedia links (mi),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",7996,,,8
Wikiquote edits (lt)*,"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",6008,411,5597,11
Wikipedia links (so),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",7439,,,10
Wikipedia edits (gag),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",6999,799,6200,12
Sexual escorts,"['Rating network', 'Bipartite undirected', 'Ratings multiple edges', 'Edges are annotated with timestamps']",16730,10106,6624,17
Wikipedia edits (cdo),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",26047,788,25259,13
Wikivoyage edits (pl),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",7735,935,6800,11
Wikibooks edits (zh),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",14125,2372,11753,13
